es_date,raw_date,btc_volume,btc_price,RSI_6,RSI_9,RSI_15,K_9,D_9
2015-08-18T00:00:00Z,20150818,75.38405344,253.40333333333334,43.65950315726923,45.90263768626853,47.613717063985725,0.44773685854454937,0.22616441106324023
2015-08-19T00:00:00Z,20150819,2526.94108721,231.2625,47.09508256254023,47.782419292292374,48.779962395514545,33.78107019187788,11.48364265556352
2015-08-20T00:00:00Z,20150820,883.95246842,233.462,44.89349223675802,46.562550440409005,48.01245594727729,46.77732366339618,27.002043571272832
2015-08-21T00:00:00Z,20150821,1696.33021697,233.25111111111107,46.38075048779371,47.310793423516856,48.44221154247072,69.70294725982195,50.08711370503196
2015-08-22T00:00:00Z,20150822,25.29581363,225.14,43.48393425268705,45.82592469147204,47.57545763517289,39.0623851449778,51.84755202273194
2015-08-23T00:00:00Z,20150823,286.75014067,229.62,44.13899802820899,46.123563568911194,47.73223358970119,31.747752965985057,46.8376951235949
2015-08-24T00:00:00Z,20150824,2350.5474732499997,215.1242857142857,49.6652655297242,48.62986109998892,49.02156841079125,39.76071335223672,36.85695048773315
2015-08-25T00:00:00Z,20150825,799.44830303,212.6725,45.596966239509925,46.789483020389945,48.066768352597,47.38318676596169,39.63055102806111
2015-08-26T00:00:00Z,20150826,583.22191882,224.4166666666667,44.98060433866396,46.51342271497348,47.92734326238508,48.922202285427154,45.35536746787514
2015-08-27T00:00:00Z,20150827,765.30234867,225.235,45.722015939052405,46.810717271730645,48.06326485749234,27.609631569450134,41.305006873612946
2015-08-28T00:00:00Z,20150828,-209.88420746,228.855,42.07781417493265,45.29381361978852,47.353976486143345,17.29438693723598,31.275406930704374
2015-08-29T00:00:00Z,20150829,75.85847885,230.48333333333335,43.656831776639685,45.872008910752626,47.59675953215732,13.580245279252829,19.49475459531293
2015-08-31T00:00:00Z,20150831,-204.75706285999993,230.128,42.29795752783009,45.342548905915095,47.3669184094351,3.7867290517374186,11.553787089408694
2015-09-01T00:00:00Z,20150901,1185.74988302,227.91250000000002,51.30975987461102,48.64675591356457,48.68256709705008,21.95598414251694,13.107652824502347
2015-09-02T00:00:00Z,20150902,140.70361931,229.21,44.97493496007808,46.281178530305375,47.722005102809206,22.80017955623742,16.18096425016388
2015-09-03T00:00:00Z,20150903,25.02343929,226.61,44.24925475020605,46.002603843384385,47.61059048924169,28.34396681847099,24.366710172408403
2015-09-05T00:00:00Z,20150905,25.19090836,229.63,44.250817430509734,46.00313318248761,47.610780205382795,15.789247262077147,22.311131212261802
2015-09-06T00:00:00Z,20150906,-7000.0111,240.38333333333333,18.353771281491294,31.45224415997251,40.94634497416447,11.225071236457604,18.452761772335197
2015-09-07T00:00:00Z,20150907,355.73417382,240.27999999999997,52.95040910538443,50.05928340271936,48.96110310203038,35.567952160639805,20.860756886391467
2015-09-08T00:00:00Z,20150908,1176.6889395100002,242.71800000000002,55.47711589954194,51.705279344632245,49.77619951384783,63.24985278521847,36.68095872743857
2015-09-09T00:00:00Z,20150909,1607.43679698,240.19666666666663,56.93333065158507,52.62692084951568,50.22309167996048,96.5831861185518,65.13366368813664
2015-09-10T00:00:00Z,20150910,1525.06336833,237.69333333333336,56.50919331204125,52.41173809242198,50.13169450049707,99.64410223592508,86.49238037989839
2015-09-12T00:00:00Z,20150912,25.14925611,239.47,48.59836327272104,48.36106552547389,48.41286573945435,93.55340867024377,96.59356567490681
2015-09-13T00:00:00Z,20150913,25.09815258,232.67,48.59808511708846,48.360922263746794,48.4128051456518,87.42562002588777,93.54104364401881
2015-09-15T00:00:00Z,20150915,75.78104608,230.16,48.945852614523325,48.53103732270499,48.48132332895091,81.8131073136567,87.59737866992936
2015-09-16T00:00:00Z,20150916,25.09059137,228.07,48.5516137875244,48.351814066329595,48.4124186495753,81.81288012769441,83.68386915574625
2015-09-18T00:00:00Z,20150918,-530.0198403999999,233.355,43.90446446214089,46.247693635452336,47.618337467758714,54.60733543871708,72.74444096002269
2015-09-20T00:00:00Z,20150920,25.01905821,231.2,49.68306190785191,48.75609260014083,48.52288128568172,35.861268369407235,57.42716131193953
2015-09-22T00:00:00Z,20150922,25.2081168,231.03,49.68518048508956,48.75700894615977,48.52320569852725,17.314454266090078,35.92768602473809
2015-09-23T00:00:00Z,20150923,492.80440161,230.76799999999997,55.2742969088743,51.185802349789476,49.36875757376103,33.90460558234886,29.026776072615345
2015-09-24T00:00:00Z,20150924,25.08408465,231.92,48.771373315229596,48.593974056425964,48.51471280842833,43.33941345011845,31.519491099519083
2015-09-25T00:00:00Z,20150925,50.28613402,235.46,49.158129982270175,48.75127882532818,48.566080601018456,53.592595230400946,43.61220475428937
2015-09-27T00:00:00Z,20150927,50.127173260000006,232.95,49.15532111672167,48.75022027615982,48.565753143333154,55.90914654632087,50.947051742280046
2015-09-28T00:00:00Z,20150928,25.05761869,237.18,48.629457701707075,48.56313442584147,48.510484646209605,55.90828403384763,55.13667527018976
2015-09-29T00:00:00Z,20150929,-343.59907146,237.24,40.906981145227164,45.66401266257337,47.65600081908246,43.07176109073482,51.62973055696772
2015-09-30T00:00:00Z,20150930,25.07638105,236.93,50.36588485335446,49.083735473278296,48.62561771037033,38.857945499335806,45.94599687463937
2015-10-01T00:00:00Z,20151001,-197.82302152,238.115,45.12539837517325,47.06883323134274,48.04905568487868,26.577885497813952,36.16919736262815
2015-10-02T00:00:00Z,20151002,208.40049593999998,237.305,55.29737906757749,51.17788526243787,49.224638711366694,42.501460287486026,35.97909709487855
2015-10-03T00:00:00Z,20151003,0.41325479,237.6,49.643466076770046,48.987407811778866,48.621080281629006,48.58228072564206,39.22054217031396
2015-10-07T00:00:00Z,20151007,29655.00436953,245.885,97.27709432158848,93.51428293868452,82.11709990696973,76.10597574311441,55.729905585414116
2015-10-09T00:00:00Z,20151009,25.08741471,244.19,45.58079423330405,47.201997190127614,48.363153239454476,54.516711534547,59.73498933443444
2015-10-10T00:00:00Z,20151010,50.740951439999996,244.11,45.61082451503696,47.22745351208832,48.38283505425179,34.18118003456498,54.934622437408756
2015-10-11T00:00:00Z,20151011,75.2937133,245.90666666666667,45.64527369360679,47.254835592219315,48.40300228123036,1.3133047967326632,30.003732121948172
2015-10-12T00:00:00Z,20151012,75.66974404999999,245.42,45.645906400999465,47.2553071258637,48.40333307697887,1.209013039052663,12.234499290116725
2015-10-13T00:00:00Z,20151013,50.500928470000005,249.49,45.60326983265237,47.223517873683676,48.38108903181945,1.048112806588152,1.1901435474577824
2015-10-14T00:00:00Z,20151014,75.32039479,252.0,45.663329695413054,47.26287545040686,48.40614028186782,0.6668543096250387,0.974660051755241
